,ans,predict,a_relation,p_relation
1625,"{'prompt': 'his <h> daughter </h> into perpetual <t> coma </t> by car accident .', 'completion': {'h': 'daughter', 't': 'coma', 'relation': 'Other'}}","{'head': 'daughter', 'tail': 'daughter', 'relation': 'Condition-Status'}",Other,Condition-Status
1686,"{'prompt': 'the us <h> price </h> gasoline went unchanged from two <t> weeks </t> ago , holding an average of $ 2.64 a gallon .', 'completion': {'h': 'price', 't': 'weeks', 'relation': 'Other'}}","{'head': 'price', 'tail': 'price', 'relation': 'Time-Series(e1,e2)'}",Other,"Time-Series(e1,e2)"
1796,"{'prompt': '<h> shampoos </h> by using <t> acid </t> to remove hard water scale .', 'completion': {'h': 'shampoos', 't': 'acid', 'relation': 'Other'}}","{'head': 'shampoos', 'tail': 'shampoos', 'relation': 'Ingredient-Origin(e1,e2)'}",Other,"Ingredient-Origin(e1,e2)"
1836,"{'prompt': 'the most disturbing <h> moment </h> five <t> minutes </t> from the end .', 'completion': {'h': 'moment', 't': 'minutes', 'relation': 'Other'}}","{'head': 'moment', 'tail': 'moment', 'relation': 'Time-Duration(e1,e2)'}",Other,"Time-Duration(e1,e2)"
1864,"{'prompt': 'at the public inquiry into the disaster <h> firefighters </h> the <t> horror </t> that faced them when they arrived at the scene of the paddington rail crash .', 'completion': {'h': 'firefighters', 't': 'horror', 'relation': 'Other'}}","{'head': 'firefighters', 'tail': 'firefighters', 'relation': 'Emotion-Event(e1,e2)'}",Other,"Emotion-Event(e1,e2)"
1876,"{'prompt': 'and from the <h> slope </h> the <t> line </t> we compute the amount of time which has passed since the pool of matter became separated into individual objects .', 'completion': {'h': 'slope', 't': 'line', 'relation': 'Other'}}","{'head': 'slope', 'tail': 'slope', 'relation': 'Element-of-Collection(e1,e2)'}",Other,"Element-of-Collection(e1,e2)"
1894,"{'prompt': 'construction <h> work </h> the facility started at the <t> end </t> of 1980 .', 'completion': {'h': 'work', 't': 'end', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'work', 'tail': 'work', 'relation': 'Starting-At(e1,e2)'}","Entity-Origin(e1,e2)","Starting-At(e1,e2)"
1965,"{'prompt': 'i had just returned from a wonderful meal at gusto when a mysterious <h> email </h> from an unknown <t> person </t> identified only as , salumi monger .', 'completion': {'h': 'email', 't': 'person', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'email', 'tail': 'email', 'relation': 'From-Entity-Origin(e1,e2)'}","Entity-Origin(e1,e2)","From-Entity-Origin(e1,e2)"
2015,"{'prompt': 'the <h> motet </h> from a short , sparse germinal <t> idea </t> in which the intervals of the tone , semitone and augmented fourth predominate .', 'completion': {'h': 'motet', 't': 'idea', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'motet', 'tail': 'motet', 'relation': 'Origin-Source(e1,e2)'}","Entity-Origin(e1,e2)","Origin-Source(e1,e2)"
2026,"{'prompt': 'here are some <h> photos </h> a few <t> weeks </t> ago when i came out of the subway and stumbled across an amazing sighting .', 'completion': {'h': 'photos', 't': 'weeks', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'photos', 'tail': 'photos', 'relation': 'Time-Stamp ( e1 , e2)'}","Entity-Origin(e1,e2)","Time-Stamp ( e1 , e2)"
2051,"{'prompt': 'the english <h> title </h> derived from a <t> quip </t> in the story , and works well enough .', 'completion': {'h': 'title', 't': 'quip', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'title', 'tail': 'title', 'relation': 'Message-Origin(e1,e2)'}","Entity-Origin(e1,e2)","Message-Origin(e1,e2)"
2081,"{'prompt': 'in fact , the only clothes she could fit into were her maternity <h> dresses </h> twenty-five <t> years </t> ago .', 'completion': {'h': 'dresses', 't': 'years', 'relation': 'Entity-Origin(e1,e2)'}}","{'head': 'dresses', 'tail': 'dresses', 'relation': 'Time-Scale(e1,e2)'}","Entity-Origin(e1,e2)","Time-Scale(e1,e2)"
2311,"{'prompt': 'four of the <h> entrapments </h> in <t> suffocation </t> : a 7-month-old in gouverneur , n.y. ; a 7-month-old in new iberia , la . ; a 6-month-old in summersville , w.va. ; and a 9-month-old in bronx , n.y .', 'completion': {'h': 'entrapments', 't': 'suffocation', 'relation': 'Cause-Effect(e1,e2)'}}","{'head': 'entrapments', 'tail': 'entrapments', 'relation': 'Cause-Effect(e1,e'}","Cause-Effect(e1,e2)","Cause-Effect(e1,e"
